,Reviews,Relevant Content,Replies,Comments,Summary
0,We got takeout and decided to grab take out. We got the kung pao chicken and the Mongolian beef. Great food! Friendly staff!   We look forward to trying more of their dishes in the future.,*Friendly staff!,* Staff is friendly, , 
1,"We decided to try their food for brunch for the first time. Place : it needs some cleaning, floor is filthy and the inside is extremely warm. we had to find a shaded area outside to eat. It's located in a shopping complex w some establishments such as Ross, Lucky's, gym, nail salon post office, McDonalds, etc. Parking: lots of parking spaces  FOOD: spicy chicken 4/5 fried rice 2/5 soup1/5 Chicken noodle soup: 2/5 it's quite bland, more of tap water taste (seriously). Im not gonna lie- I'm not coming back. I should've ordered Panda Express, at least I get a fortune cookie",No relevant information found., , , 
2,"This is my very first time I came for the dim sum for my elderly mother.  We've been blessed or you can say we've been spoiled to enjoy the yummy dim sum from any good dim sum restaurants around San Jose & Milpitas. Since my family has moved here to the south side, and during my daily routine walks I checked this place out. It happened on the rainy day a couple days ago so I assumed I wouldn't have to be waiting for the orders too long; well, I was wrong! They had me waited for more than 30 minutes. They charged me $62.89 for 9 small orders. When I got home & ready to feed my mother, we're so disappointed when we saw the foods; they're either small or missing ( one box has only 2 pieces of some kind they called Pan Fried Taro Shrimp Cake); others like Pan Fried Dumplings & Steamed Buns are so thickened & hard & dried for the buns. Every order they added raw cabbage in there ( to make ít looked full? Lol) We ended up not enjoying the foods. My mother gave up after trying 1 little piece of Chicken Siu Mai ( which is the only one tasted okay). We feel like we've wasted money because we're throwing the foods out! Definitely we don't ever want to come back there & not recommend this business to any of my friends , family or relatives.","*They had me waited for more than 30 minutes. *charged me $62.89 for 9 small orders. *Definitely we don't ever want to come back there & not recommend this business to any of my friends , family or relatives.",* Long wait time (over 30 minutes) * High cost ($62., , 
3,"Today, I place order for take out mango chicken. When I ate it, that was not mango that I had about 4 years ago. Instead yellow items were not well cooked potatoes and they made it fake. They should be honest to customers. If they do like this, Customer will come one time only. I had to throw away it which they charged me $16.41. If there is zero star, I will put zero. Will never go there anymore and share my experience to my coworkers not to be like me.",No relevant information found., , , 
4,Solid good Chinese food. I had no issues with my door dash order. I loved the Shanghai pork dumplings and the mushu chicken appetizer! I'll be back to get those items again.,No relevant information found., , , 
5,"Their food is excellent. Their to go packaging is why I can't love them.   The good  Dim sum - really good. Had chicken doughy one and crab cake small Wonton soup- chicken wontons and bok choy are great! Nice variety of healthy choices  The bad Cashier not wearing mask properly and another time in the kitchen it was completely off. Packaging of soup sucks! Yesterday I got my soup delivered and it was leaking.  Today I go in person and the bag isn't secure. The knot unties and the soup drops to the ground in front of my car.   APPARENTLY YOU NEED ANOTHER WAY TO SECURE YOUR SOUPS TO GO.  Fortunately, I had time to wait for them to replace my order.   I was happier before I came in and saw behind the scenes. Again great food... but at what cost?? Get it together Fu Kee. Right now y'all are more like Funk-y.",*Cashier not wearing mask properly *Packaging of soup sucks! *had time to wait for them to replace my order.,* Cashier not wearing mask properly * Poor packaging of soup * Order had to be replaced, , 
6,"Went there for lunch. we tried the Chao Zhou Crab Cakes and it was dry and not good. The red sauce that came with it was watery sugar water. Also tried the Roasted Garlic Basil Crispy Pork (too dry over cooked), Vegetable Pad Thai (was ok nut no Thai Noodle), and Crispy Tofu Mandarin Sauce (taste was good). Our bill total was $54.14. This place was too expensive for the food quality. The quantity is good just not the quality. The interior appeared clean and girl at the register was friendly. There are things on the menu to try but that maybe a while for me to return. They must be doing something right they have been there for 15 years.",*girl at the register was friendly.,* Friendly girl at the register, , 
7,The food was fresh and delicious. The teriyaki chicken bowls felt light and healthy. Great choice,No relevant information found., , , 
8,The best part of my meal here was easily the dim sum. Really good veggie bao and dumplings.  The vegetarian hot and sour soup was the \,No relevant information found., , , 
9,"This is a cozy restaurant for small parties of up to four, unless you put tables together.  The restaurant serves a special meal of large rice,  choice of one of two appetizers, and choice of two main dishes out of many choices for $32.  We ordered an additional egg roll appetizer,  the egg rolls were crunchy, with lots of vegetables.  We enjoyed both main dishes, with food to spare for another future meal. We plan to come again with more friends.  This is a sister restaurant to my favorite, Ginger Cafe, in Gilroy.  They have a Ginger Cafe in Sunnyvale,  and also two more locations.",No relevant information found., , , 
